"jaras_kod","jaras_nev","oltott","gyerek","arany"
"184","Balatonalmádi",1705,2383,71.5484683172472
"092","Téti",667,1463,45.5912508544088
"114","Tatai",2510,3469,72.3551455750937
"061","Miskolci",11943,20763,57.5205895101864
"122","Aszódi",2878,3725,77.261744966443
"048","Gyulai",2308,2943,78.4233775059463
"173","Szekszárdi",3401,4316,78.7998146431881
"183","Ajkai",1940,2755,70.4174228675136
"068","Tiszaújvárosi",1640,2795,58.6762075134168
"046","Békéscsabai",4325,5726,75.5326580509955
"138","Váci",4759,6440,73.8975155279503
"031","Siklósi",623,2927,21.284591732149
"177","Körmendi",1305,1804,72.3392461197339
"067","Szikszói",565,2092,27.0076481835564
"118","Pásztói",1203,2648,45.4305135951662
"088","Kapuvári",1139,1890,60.2645502645503
"038","Kecskeméti",10148,14643,69.3027385098682
"157","Nyíregyházi",8858,14292,61.978729359082
"113","Oroszlányi",1801,2284,78.8528896672504
"100","Hajdúszoboszlói",1668,3784,44.0803382663848
"179","Sárvári",1672,2959,56.5055762081784
"071","Hódmezővásárhelyi",2816,4502,62.5499777876499
"034","Bácsalmási",534,1394,38.3070301291248
"010","10. ker.",3703,4421,83.7593304682199
"087","Győri",13157,16999,77.39867051003
"094","Berettyóújfalui",1243,3800,32.7105263157895
"191","Veszprémi",5292,6431,82.2889130772819
"077","Bicskei",1731,3341,51.8108350793176
"167","Szolnoki",5566,8811,63.1710362047441
"105","Füzesabonyi",889,2821,31.5136476426799
"182","Vasvári",656,1058,62.0037807183365
"129","Gyáli",3178,4255,74.6886016451234
"137","Szobi",1276,2448,52.124183006536
"119","Rétsági",1059,2165,48.9145496535797
"186","Devecseri",523,1430,36.5734265734266
"041","Kiskunhalasi",2284,3350,68.179104477612
"015","15. ker.",4314,5101,84.5716526171339
"006","06. ker.",1219,1628,74.8771498771499
"052","Szarvasi",1249,1868,66.8629550321199
"027","Mohácsi",1379,2631,52.4135309768149
"125","Dabasi",3303,4951,66.7137951928903
"016","16. ker.",5760,6834,84.2844600526778
"075","Szegedi",11349,15042,75.4487435181492
"047","Gyomaendrődi",926,1748,52.974828375286
"022","22. ker.",4014,5301,75.7215619694397
"057","Gönci",283,1760,16.0795454545455
"154","Mátészalkai",1210,6279,19.2705844879758
"097","Hajdúböszörményi",2849,3447,82.6515810850015
"063","Putnoki",369,1828,20.1859956236324
"135","Szentendrei",6756,8678,77.8520396404702
"133","Pilisvörösvári",4030,6091,66.1631915941553
"096","Derecskei",1131,4470,25.3020134228188
"152","Kemecsei",400,2238,17.8731009830206
"164","Kunhegyesi",507,2392,21.195652173913
"126","Dunakeszi",8155,9542,85.4642632571788
"120","Salgótarjáni",2186,4691,46.599872095502
"025","Hegyháti",635,1069,59.4013096351731
"176","Celldömölki",943,1763,53.4883720930233
"131","Nagykátai",4094,6762,60.5442176870748
"059","Mezőcsáti",337,1577,21.3696892834496
"024","Bólyi",256,940,27.2340425531915
"140","Barcsi",484,1839,26.3186514410005
"117","Bátonyterenyei",646,1621,39.8519432449106
"021","21. ker.",3943,4941,79.8016595830804
"081","Martonvásári",1387,2682,51.7151379567487
"037","Kalocsai",2180,3661,59.5465719748703
"082","Móri",1561,3104,50.2899484536083
"194","Lenti",760,1316,57.7507598784195
"062","Ózdi",1353,5733,23.600209314495
"155","Nagykállói",694,2638,26.3078089461713
"078","Dunaújvárosi",3376,7041,47.947734696776
"169","Törökszentmiklósi",1776,3129,56.7593480345158
"106","Gyöngyösi",3643,5588,65.1932712956335
"112","Komáromi",2439,3154,77.3303741280913
"033","Szigetvári",425,1888,22.510593220339
"196","Nagykanizsai",3797,5282,71.8856493752367
"091","Soproni",4930,8230,59.9027946537059
"124","Ceglédi",6550,8395,78.0226325193568
"080","Gárdonyi",2679,3564,75.1683501683502
"004","04. ker.",5866,6995,83.8598999285204
"036","Jánoshalmai",549,1277,42.9913860610807
"139","Vecsési",4431,5053,87.6904809024342
"072","Kisteleki",542,1354,40.0295420974889
"003","03. ker.",7675,9608,79.8813488759367
"023","23. ker.",1521,1847,82.3497563616676
"055","Edelényi",980,4107,23.8616995373752
"181","Szombathelyi",7441,8867,83.9178978233901
"073","Makói",2108,3534,59.6491228070175
"056","Encsi",481,2615,18.3938814531549
"143","Kaposvári",5688,9136,62.2591943957969
"045","Békési",2004,2828,70.8628005657709
"058","Kazincbarcikai",2442,5252,46.4965727341965
"142","Fonyódi",1150,2460,46.7479674796748
"130","Monori",5373,7584,70.8465189873418
