"KNOWN_ID","name","Települések_száma"
"3708","Abai",9
"3512","Abaúj-Hegyközi",24
"3709","Adonyi",8
"4910","Ajkai",12
"4301","Aszódi",9
"3301","Bajai",20
"4501","Baktalórántházai",19
"4201","Balassagyarmati",29
"4902","Balatonalmádi",11
"4410","Balatonföldvári",13
"4903","Balatonfüredi",21
"3901","Balmazújvárosi",4
"4401","Barcsi",26
"3902","Berettyóújfalui",29
"3701","Bicskei",17
"3513","Bodrogközi",17
"4701","Bonyhádi",21
"0956","Budapest I. kerület",1
"0317","Budapest II. kerület",1
"1806","Budapest III. kerület",1
"0546","Budapest IV. kerület",1
"2958","Budapest IX. kerület",1
"1339","Budapest V. kerület",1
"1658","Budapest VI. kerület",1
"2974","Budapest VII. kerület",1
"2540","Budapest VIII. kerület",1
"1070","Budapest X. kerület",1
"1421","Budapest XI. kerület",1
"2469","Budapest XII. kerület",1
"2429","Budapest XIII. kerület",1
"1633","Budapest XIV. kerület",1
"0401","Budapest XIX. kerület",1
"1131","Budapest XV. kerület",1
"0820","Budapest XVI. kerület",1
"0211","Budapest XVII. kerület",1
"2928","Budapest XVIII. kerület",1
"0602","Budapest XX. kerület",1
"1318","Budapest XXI. kerület",1
"1021","Budapest XXII. kerület",1
"3413","Budapest XXIII. kerület",1
"4310","Budaörsi",10
"3302","Bácsalmási",8
"4202","Bátonyterenyei",14
"3401","Békéscsabai",6
"3407","Békési",9
"4007","Bélapátfalvai",13
"4302","Ceglédi",15
"4801","Celldömölki",28
"4502","Csengeri",11
"4802","Csepregi",16
"3601","Csongrádi",4
"3801","Csornai",34
"4402","Csurgói",18
"4303","Dabasi",10
"3903","Debreceni",2
"3908","Derecske-Létavértesi",10
"4911","Devecseri",27
"4702","Dombóvári",16
"4101","Dorogi",15
"4311","Dunakeszi",4
"3702","Dunaújvárosi",9
"3502","Edelényi",47
"4001","Egri",17
"3503","Encsi",36
"3703","Enyingi",9
"4316","Érdi",4
"3710","Ercsi",6
"4102","Esztergomi",9
"4503","Fehérgyarmati",49
"4403","Fonyódi",11
"4003","Füzesabonyi",16
"3408","Gyulai",4
"4312","Gyáli",5
"3802","Győri",27
"4004","Gyöngyösi",25
"3704","Gárdonyi",9
"4304","Gödöllői",12
"3904","Hajdúböszörményi",3
"3909","Hajdúhadházi",11
"3905","Hajdúszoboszlói",4
"4005","Hatvani",13
"4002","Hevesi",17
"5007","Hévízi",8
"3602","Hódmezővásárhelyi",4
"4511","Ibrány-Nagyhalászi",17
"3310","Jánoshalmai",4
"4601","Jászberényi",18
"4411","Kadarkúti",23
"3303","Kalocsai",20
"4404","Kaposvári",54
"3803","Kapuvár-Beledi",18
"4602","Karcagi",5
"3504","Kazincbarcikai",32
"3304","Kecskeméti",18
"5001","Keszthelyi",16
"4103","Kisbéri",17
"3306","Kiskunfélegyházai",9
"3307","Kiskunhalasi",9
"3308","Kiskunmajsai",6
"3305","Kiskőrösi",15
"3603","Kisteleki",6
"4504","Kisvárdai",21
"3201","Komlói",19
"4104","Komáromi",9
"3309","Kunszentmiklósi",10
"4603","Kunszentmártoni",11
"4804","Kőszegi",15
"4803","Körmendi",25
"4405","Lengyeltóti",10
"5002","Lenti",51
"5003","Letenyei",27
"3604","Makói",17
"4406","Marcali",38
"3514","Mezőcsáti",9
"3402","Mezőkovácsházai",18
"3505","Mezőkövesdi",21
"4607","Mezőtúri",5
"3501","Miskolci",40
"3202","Mohácsi",43
"4305","Monori",15
"3804","Mosonmagyaróvári",27
"4505","Mátészalkai",26
"3605","Mórahalomi",9
"3705","Móri",13
"4407","Nagyatádi",18
"5004","Nagykanizsai",27
"4506","Nagykállói",9
"4306","Nagykátai",16
"4507","Nyírbátori",20
"4508","Nyíregyházai",9
"3403","Orosházai",10
"4105","Oroszlányi",6
"3506","Ózdi",29
"4805","Őriszentpéteri",22
"5008","Pacsai",20
"4703","Paksi",14
"3807","Pannonhalmai",18
"4313","Pilisvörösvári",14
"3906","Polgári",6
"4904","Pápai",49
"4203","Pásztói",26
"3207","Pécsi",39
"3208","Pécsváradi",19
"4006","Pétervásárai",20
"3907","Püspökladányi",13
"4307","Ráckevei",20
"4204","Rétsági",25
"4205","Salgótarjáni",24
"3404","Sarkadi",11
"3204","Sellyei",35
"3205","Siklósi",53
"4408","Siófoki",10
"3805","Sopron-Fertődi",40
"3405","Szarvasi",8
"3606","Szegedi",12
"3406","Szeghalomi",9
"4704","Szekszárdi",26
"4314","Szentendrei",13
"3607","Szentesi",8
"4807","Szentgotthárdi",15
"3209","Szentlőrinci",20
"3509","Szerencsi",18
"3206","Szigetvári",46
"3510","Szikszói",23
"4308","Szobi",13
"4604","Szolnoki",18
"4808","Szombathelyi",40
"4206","Szécsényi",13
"3707","Székesfehérvári",18
"3706","Sárbogárdi",10
"3507","Sárospataki",16
"4806","Sárvári",32
"3203","Sásdi",27
"3508","Sátoraljaújhelyi",19
"4905","Sümegi",21
"4409","Tabi",24
"4705","Tamási",32
"4906","Tapolcai",33
"4107","Tatabányai",10
"4106","Tatai",10
"4605","Tiszafüredi",13
"4509","Tiszavasvári",10
"3511","Tiszaújvárosi",16
"3515","Tokaji",11
"3806","Téti",19
"4606","Törökszentmiklósi",8
"4809","Vasvári",23
"4315","Veresegyházi",8
"4908","Veszprémi",20
"4309","Váci",19
"4907","Várpalotai",7
"4510","Vásárosnaményi",27
"5005","Zalaegerszegi",65
"5009","Zalakarosi",19
"5006","Zalaszentgróti",25
"4909","Zirci",16
"4512","Záhonyi",11
