"TELEPULES_ID","TELEPULES","LAKOS"
"17376","Aba","4674"
"12548","Abaliget","584"
"24554","Abasár","2507"
"15662","Abaújalpár","75"
"26718","Abaújkér","697"
"02820","Abaújlak","137"
"26338","Abaújszolnok","184"
"03595","Abaújszántó","3097"
"02273","Abaújvár","201"
"11882","Abda","3167"
"10357","Abod","229"
"27872","Abony","15072"
"12441","Abádszalók","4034"
"18573","Acsa","1464"
"33385","Acsalag","450"
"07214","Acsád","662"
"08925","Adony","3851"
"31307","Adorjánháza","358"
"06868","Adorjás","187"
"23241","Adács","2718"
"07302","Adásztevel","753"
"09362","Aggtelek","521"
"29407","Agyagosszergény","876"
"08776","Ajak","3584"
"06673","Ajka","29131"
"06682","Aka","266"
"21944","Akasztó","3247"
"33093","Alacska","755"
"26824","Alap","1953"
"25265","Alattyán","2162"
"31653","Albertirsa","12394"
"15176","Alcsútdoboz","1447"
"06345","Aldebrő","666"
"34245","Algyő","5204"
"02644","Alibánfa","465"
"13329","Almamellék","437"
"32346","Almásfüzitő","2250"
"23384","Almásháza","66"
"29595","Almáskamarás","831"
"20376","Almáskeresztúr","91"
"20482","Alsóberecki","735"
"34184","Alsóbogát","259"
"19664","Alsódobsza","316"
"14429","Alsógagy","96"
"17385","Alsómocsolád","337"
"19512","Alsónemesapáti","721"
"11563","Alsónyék","754"
"29665","Alsónána","687"
"23199","Alsónémedi","5186"
"16425","Alsópetény","703"
"32081","Alsópáhok","1315"
"18829","Alsórajk","354"
"23223","Alsóregmec","190"
"08767","Alsószenterzsébet","72"
"25283","Alsószentiván","614"
"33279","Alsószentmárton","1186"
"28839","Alsószuha","467"
"22549","Alsószölnök","373"
"08217","Alsótelekes","145"
"07621","Alsótold","244"
"29814","Alsóvadász","1552"
"21032","Alsózsolca","5977"
"30526","Alsóörs","1401"
"22725","Alsóújlak","572"
"16197","Ambrózfalva","488"
"29975","Anarcs","1934"
"28714","Andocs","1089"
"17987","Andornaktálya","2741"
"12317","Andrásfa","268"
"34227","Annavölgy","933"
"20303","Apagy","2191"
"33561","Apaj","1228"
"26125","Aparhant","1026"
"07241","Apc","2593"
"21148","Apostag","1956"
"28370","Apácatorna","151"
"14252","Apátfalva","2998"
"08873","Apátistvánfalva","356"
"27298","Apátvarasd","127"
"09353","Aranyosapáti","1988"
"06886","Aranyosgadány","326"
"26198","Arka","90"
"14331","Arló","3656"
"03771","Arnót","2583"
"04233","Aszaló","1902"
"16188","Aszód","6395"
"07339","Aszófő","399"
"16090","Atkár","1730"
"32735","Attala","840"
"05403","Babarc","728"
"09663","Babarcszőlős","108"
"21263","Babosdöbréte","511"
"30474","Babócsa","1547"
"15042","Babót","1089"
"22327","Badacsonytomaj","2091"
"03267","Badacsonytördemic","812"
"09131","Bag","3967"
"20011","Bagamér","2513"
"11059","Baglad","44"
"30368","Bagod","1340"
"29212","Baj","2847"
"03522","Baja","37508"
"16744","Bajna","1938"
"17020","Bajánsenye","475"
